question_id,question,score_0,score_5,score_7,score_9,unique_texts
Q43,Access to growth capital,"You have no access to growth capital. This isn't a problem, unless you want to grow a lot. After all, growth gobbles up cash. You could create a list of the various alternatives (friends/fools/family, the bank, factoring, SME bonds, crowd funding, angel investors, private equity, Government Funding, etc.). There are a lot of service providers who can help you with this.","You have no clear picture of your access to growth capital. This isn't a problem, unless you want to grow a lot. After all, growth gobbles up cash. You could create a list of the various alternatives (friends/fools/family,thebank,factoring,SMEbonds,crowdfunding, angel investors, private equity, Government Funding, etc.). There are a lot of service providers who can help you with this.","You have reasonable access to growth capital. That's encouraging, especially if you want to grow. Growth always gobbles up cash. Also think about all the alternatives, such as friends/fools/family, the bank, factoring, SME bonds, crowd funding, angel investors, private equity, Government Funding, etc.). There are a lot of service providers who can help you with this.","You have good access to growth capital. That's encouraging, especially if you want to grow. Growth gobbles up cash. It's important to consider the alternatives, including the bank, factoring, SME bonds, crowdfunding, angel investors, private equity, Government Funding etc. There are many service providers who can assist.",4
Q44,Financial alert function,"It is crucial to have ""early warning systems"" with regard to financial parameters. The faster you can intervene or take measures, the better. You indicate that this is not the case at your company. That's dangerous. What are you going to do about it?","It is crucial to have ""early warning systems"" with regard to financial parameters. The faster you can intervene or take measures, the better. You indicate that this is not always the case at your company. That's dangerous. What are you going to do about it?","You indicate that your ""early warning system"" for financial parameters is in order. The faster you can intervene or take measures, the better. But why isn't your score ""perfect"" yet? What are you going to do about it?","You indicate that your ""early warning system"" for financial parameters is perfectly in order. The faster you can intervene or take measures, the better.",4
Q45,Leadership understands balance sheet,"Reading and understanding a balance sheet appears to be a tricky thing for many entrepreneurs. While a balance sheet is a smart blueprint that can expose the dynamics and growth potential behind your company. With a company of your size this is not a priority, but if you grow you should spend a good amount of time and attention on this.","Reading and understanding a balance sheet appears to be a tricky thing for many entrepreneurs. While a balance sheet is a smart blueprint that can expose the dynamics and growth potential behind your company. With a company of your size this is not a priority, but if you grow you should spend a good amount of time and attention on this.","Reading and understanding a balance sheet appears to be a tricky thing for many entrepreneurs. While a balance sheet is a smart blueprint that can expose the dynamics and growth potential behind your company. You are already fairly good at this. This will become increasingly important, especially if you grow.",Reading and understanding a balance sheet appears to be a tricky thing for many entrepreneurs. But not for you. You understand that a balance sheet can be a smart blueprint that can expose the dynamics and growth potential behind your company.,3
Q46,CEO works on the company and is able to remove from daily operations,"You indicate that you are still working fully in your company. That's very unusual in this phase. But if you don't put in any time to work on your company as well (systems, structures, processes, management, etc.), then it will be difficult to keep growing. When do you start?","In this phase you work in your company to a large extent. If you don't put in any time to work on your company as well (systems, structures, processes, management, etc.), then it will be difficult to grow. When do you start?",In this phase you work on your company to a large extent. That's very good. On to strong growth!,In this phase you work fully on your company. That's excellent. On to strong growth!,4
Q47,Have a mentor,"You indicate that you have no mentor. It can be difficult to see when you are stuck. Sometimes choices are a challenge, or you have simply reached the end of your tether. Maybe you need to change to guide the company to its next phase? Whatever it may be, this is where a mentor can be of great assistance.","You don't really have a permanent mentor. It can be difficult to see when you are stuck. Sometimes choices are a challenge, or you have simply reached the end of your tether. Maybe you need to change to guide the company to its next phase? Whatever it may be, this is where a mentor can be of great assistance.","It can be difficult to see when you are stuck. Sometimes choices are a challenge, or you have simply reached the end of your tether. Maybe you need to change to guide the company to its next phase? Whatever it may be, this is where a mentor can be of great assistance. Good that you have one!","It can be difficult to see when you are stuck. Sometimes choices are a challenge, or you have simply reached the end of your tether. Maybe you need to change to guide the company to its next phase? Whatever it may be, this is where a mentor can be of great assistance. Great that you have a good mentor!",4
Q48,Have an entrepreneurial network,"Most entrepreneurs experience the same challenges, highs and lows. Other entrepreneurs you know can often be of great assistance with their experiences. We recommend that you actively look for and invest time in a network of entrepreneurs.","Most entrepreneurs experience the same challenges, highs and lows. Other entrepreneurs you know can often be of great assistance with their experiences. We recommend that you actively look for and invest more time in a good network of entrepreneurs.","Most entrepreneurs experience the same challenges, highs and lows. Other entrepreneurs you know can often be of great assistance with their experiences. You have a network of entrepreneurs that you can consult; well done.","Most entrepreneurs experience the same challenges, highs and lows. Other entrepreneurs you know can often be of great assistance with their experiences. You have an effective network of entrepreneurs that you can consult; well done.",4
Q49,Enjoy management of company,You don't like managing. Many entrepreneurs find out that managing people costs a lot of time and energy. With a company of your size you probably work with a management team and/or a second-in- command who is good in operations. The challenge is for you not to get in their way and to focus fully on the future of the company.,You don't really like managing. Many entrepreneurs find out that managing people costs a lot of time and energy. With a company of your size you probably work with a management team and/or a second-in-command who is good in operations. The challenge is for you not to get in their way and to focus fully on the future of the company.,"You like managing somewhat. Hopefully you are doing this together with an effective management team. One of the challenges of entrepreneurs in your phase is to deal less and less with management. You need to let your team do their job and focus more on strategy, major customers, growth, internationalization and innovation.","You like managing. Hopefully you are doing this together with an effectivemanagementteam.Oneofthechallengesofentrepreneurs in your phase is to deal less and less with management. You need to let your team do their job and focus more on strategy, major customers, growth, internationalization and innovation.",4
Q50,Energized by team and company,"It is not unusual for entrepreneurs to become ""sick"" of their company after about seven years. Employees can change jobs or companies. Entrepreneurs can't. The best solution that doesn't cost money but does deliver is to let your company grow hard (again); then every year is different.","It is not unusual for entrepreneurs to become ""sick"" of their company after about seven years. Employees can change jobs or companies. Entrepreneurs can't. The best solution that doesn't cost money but does deliver is to let your company grow hard (again); then every year is different.",You still get energy from your company. That's great; use all this energy to let your company grow.,You still get energy from your company. That's great; use all this energy to let your company grow.,2
Q51,Absence of CEO is possible,"You still can't leave without things going wrong. You have made the company, the processes and the people too dependent on you. That's not scalable and causes you in particular a lot of work, stress and likely also annoyance. We recommend that you start working on standardization, establishing processes and probably also on hiring better people.","You still can't leave without some things going wrong. You have made the company, the processes and the people too dependent on you. That's not scalable and causes you in particular a lot of work, stress and likely also annoyance. We recommend that you start workingonstandardization,establishingprocessesandprobablyalso on hiring better people.","Fortunately, you can easily leave for three weeks without things going completely wrong. You probably have an excellent team working for you, as well as standardized processes. That's a nice scalable model for growth.","You can easily leave for three weeks without things going wrong. Excellent. You probably have an excellent team working for you, as well as standardized processes. Your next challenge is being away for three months; then you'll really have built an independent organization.",4
Q52,Read business books,"You never read management books. That's a shame, because in order to grow it will be imperative to have skills, ideas and insights that were documented by others years ago. And don't forget: ""stagnant water will stink."" This also applies to businesses.","You don't often read management books. That's a shame, because in order to grow it will be imperative to have skills, ideas and insights that were documented by others years ago. And don't forget: ""stagnant water will stink."" This also applies to businesses.","You occasionally read management books. That's great, because in order to grow it will be imperative to have skills, ideas and insights that were documented by others years ago. Keep reading; keep developing yourself.","You read management books on a regular basis. That's great, because in order to grow - and for your next growth phase - it will be imperative to have skills, ideas and insights that were documented by others years ago. Keep reading; keep developing yourself.",4
Q53,Receives regular education,"You never attend external education or training courses. That's too bad. Because even as an entrepreneur, you need to develop yourself. Often the entrepreneur him/herself is the most important part of the educational equation. Management guru Peter Drucker said: ""The bottleneck is always on top of the bottle."" In other words, keep developing yourself in order to let your organization grow.","Yousporadicallyattendexternaleducationortrainingcourses.That's too bad. Because even as an entrepreneur, you need to develop yourself. Often the entrepreneur him/herself is the most important part of the educational equation. Management guru Peter Drucker said: ""The bottleneck is always on top of the bottle."" In other words, keep developing yourself in order to let your organization grow.",You occasionally attend external or internal training courses. That's very good. Self-development is fundamental for overall company development.,You attend external education or training courses on a regular basis. That's very good. Self-development is fundamental for overall company development.,4
Q54,Healthy work - life balance,"You have a poor work-life balance. It is a challenge for many entrepreneurs to combine everything. Successful high-growth entrepreneurs teach us that we must always take good care of ourselves. Hard work is sometimes necessary, of course, but you should take enough time for yourself and not skip vacations. Working smart is the solution.","You have a poor work-life balance. It is a challenge for many entrepreneurs to combine everything. Successful high-growth entrepreneurs teach us that we must always take good care of ourselves. Hard work is sometimes necessary, of course, but you should take enough time for yourself and not skip vacations. Working smart is the solution.",You have a reasonably good work-life balance. It is a challenge for many entrepreneurs to combine everything. Successful high-growth entrepreneurs teach us that we must always take good care of ourselves. You have got that under control; well done.,You have a good work-life balance. It is a challenge for many entrepreneurs to combine everything. Successful high-growth entrepreneurs teach us that we must always take good care of ourselves. You have got that under control; good job.,3
Q55,I am happy,"You are absolutely not happy. If this feeling continues, talk to a mentor, another entrepreneur who has been in your shoes. Maybe entrepreneurship is not for you.","You are somewhat not happy. If this feeling continues, talk to a mentor, another entrepreneur who has been in your shoes. Maybe entrepreneurship is not for you.",You are mostly happy. Congratulations! Long may it last!,You are entirely happy. Congratulations! Long may it last!,4
Q56,Employees know long term goal,"A long-term goal for the organization gives everyone a clear framework for strategy and decisions - and can be very motivating. With a company of your size, it's really necessary for things to be clear, set down on paper and shared.",A long-term goal for the organization gives everyone a clear framework for strategy and decisions - and can be very motivating. Good that you have started doing this. It's important for you to finish this quickly.,A long-term goal for the organization gives everyone a clear framework for strategy and decisions - and can be very motivating. Good that you have already come a long way with this.,A long-term goal for the organization gives everyone a clear framework for strategy and decisions - and can be very motivating. Great that this is already all in place. Ensure you check this annually - verifying a valid long-term goal.,4
Q57,Employees know yearly goal,"Focusing on goals, including annual goals, provides direction and a framework to your business activities. In addition, this information motivates your employees. In this phase you should make all of this a bit clearer.","Focusing on goals, including annual goals, provides direction and a framework to your business activities. In addition, this information motivates your employees. Good that you have already started doing this; try to persevere and especially to communicate about this on a regular basis.","Focusing on goals, including annual goals, provides direction and a framework to your business activities. In addition, this information motivates your employees. Good that you have already come a long way with this. Above all try to keep your goals ""alive"".","Focusing on goals, including annual goals, provides direction and a framework to your business activities. In addition, this information motivates your employees. Fantastic that everyone knows what the annual goal is. Well done!",4
Q58,Employees know quarterly/monthly goals,"Focusing on goals, including monthly goals and KPIs, provides guidance and direction to business activities. Actually, you make a small sprint every month to ensure that you are ""on schedule"". The clearer the goal the clearer it becomes on how to achieve it. In your phase it helps when everyone knows which goal should be achieved. Perhaps you can start on this immediately!","Focusing on goals, including monthly goals and KPIs, provides guidance and direction to business activities. Actually, you make a small sprint every month to ensure that you are ""on schedule"". The clearer the goal the clearer it becomes on how to achieve it. Good that you have already started doing this. Hurry up and finish and implement it.","Focusing on goals, including monthly goals and KPIs, provides guidance and direction to business activities. Actually, you make a small sprint every month to ensure that you are ""on schedule"". The clearer the goal the clearer it becomes on how to achieve it. Good that you are already applying this. Think above all about clear and simple communication with respect to the goals.","Focusing on goals, including monthly goals and KPIs, provides guidance and direction to business activities. Actually, you make a small sprint every month to ensure that you are ""on schedule"". The clearer the goal the clearer it becomes on how to achieve it. Great that you have got this all together. Well done.",4
Q59,Employees know vision and mission,"As with the long-term goal - it is important for the company's vision and mission to be clear. This motivates employees and provides a clear framework for the activities. In your phase it's very important for you to have this very clear, and set down on paper.","As with the long-term goal - it is important for the company's vision and mission to be clear. This motivates employees and provides a clear framework for the activities. It's good that you have started on this, but it's important to finish quickly.",As with the long-term goal - it is important for the company's vision and mission to be clear. This motivates employees and provides a clear framework for the activities. Good to see that you have already come a long way with this. We recommend that you finish this quickly.,As with the long-term goal - it is important for the company's vision and mission to be clear. This motivates employees and provides a clear framework for the activities. Good to see you have this together.,4
Q60,Employees know elevator pitch,"You'd be surprised to hear the stories and answers you get to the question ""What exactly does your company do?"". It is a good idea to formulate a common language and text - and to practice together. Everything will become clearer. Both internally as well as externally.","You'd be surprised to hear the stories and answers you get to the question ""What exactly does your company do?"". It is a good idea to formulate a common language and text - and to practice together. Everything will become clearer. Both internally as well as externally.","You'd be surprised to hear the stories and answers you get to the question ""What exactly does your company do?"". It is a good idea to formulate a common language and text - and to practice together. It's good that you have already gotten this far with it. We recommend that you check occasionally... don't be surprised to see what you get.","You'd be surprised to hear the stories and answers you get to the question ""What exactly does your company do?"". It is a good idea to formulate a common language and text - and to practice together. You have this under control and that's great. Primarily, don't forget to check and polish occasionally.",3
Q61,We frequently have company-wide meetings,"Research shows that it's crucial to communicate goals and performance to all employees, providing them with context regarding development. Face-to-face, with internal sessions works best. With internal sessions, in other words. You are not doing this yet, or not doing it often enough... we recommend that you start on this quickly.","Research shows that it's crucial to communicate goals and performance to all employees, providing them with context regarding development. Face-to-face, with internal sessions works best. With internal sessions, in other words. You are already doing this, but still not often enough. We recommend that you increase the frequency of the sessions.","Research shows that it's crucial to communicate goals and performance to all employees, providing them with context regarding development. Face-to-face, with internal sessions works best. With internal sessions, in other words. You are already doing this, but perhaps still not often enough. More often is better... we recommend that you increase the frequency of the sessions.","Research shows that it's crucial to communicate goals and performance to all employees, providing them with context regarding development. Face-to-face, with internal sessions works best. With internal sessions, in other words. You are already doing this, and frequently. Try to keep this up, even in the face of continued growth.",4
